wrkstat,wrkslf,occ10,prestg10,indus10,marital,spwrksta,cowrksta,spocc10,sppres10,spind10,coocc10,coind10,pawrkslf,paocc10,papres10,paind10,maocc10,mapres10,maind10,sibs,childs,age,agekdbrn,degree,padeg,madeg,spdeg,major1,sex,race,reg16,mobile16,family16,incom16,born,parborn,granborn,maborn,paborn,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,size,partyid,vote16,vote20,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmslm,colmslm,libmslm,relig,jew,attend,postlife,relig16,jew16,sprel,happy,hapmar,hapcohab,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,confedvac,class,rank,satfin,finalter,finrela,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,reborn,marblk,marasian,marhisp,marwht,wordsum,sei10,partners,matesex,frndsex,acqntsex,pikupsex,paidsex,othersex,condom,idu30,evcrack,crack30,hivtest,sexornt,year,id,sampcode,sample,phase,sdastrata,sdaclusters,vpsu,vstrat,compwt,wtssnrps,wtssall,wtssnr,wtss,oversamp,formwt,wtssps
 6, 2,2300,53,8470, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,6260,28, 770,  .i,.i,  .i, 2, 0,21,.i, 2, 0, 0,.i,51, 2, 1, 7, 1, 1, 2, 1,.i, 4, 2, 2, 0, 0, 0, 3, 0, 2, 8, 8, 7,2068, 1, 3, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 3, 3, 2, 2, 3, 1, 2, 1, 1, 1, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 4,.i, 0,.i, 2,.i,.i, 2,.i,.i, 2,.i,.i,.i,.i, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 1, 2, 3,.i, 2, 6, 1, 1, 2, 4, 4,.i,.i, 2, 2, 2, 1, 1, 1, 2, 5,41.1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 936, .i,10,.i,12,1.07400000000000000e+03,   2,2688,8.15400000000000014e-01,8.15371393045237092e-01,                     .y,                     .y,                     .y,1.0000,1.000,7.91881195076411526e-01
 1, 2, 110,60,8570, 4,.i,.i,  .i,.i,  .i,  .i,  .i, 2,9620,25,4470,  .i,.i,  .i, 6,.i,38,30, 1, 0, 0,.i,.i, 2, 1, 7, 1, 1, 2, 2,.i, 4, 2, 2,.i,.i,.i, 1, 0, 1,12,12, 7,2068, 1, 1, 1, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 2, 2, 1, 2, 1, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i, 7, 1, 2,.i,.i, 1,.i,.i, 2,.i, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2,.i, 2,.i, 2, 3, 3, 2, 1,.i,.i, 1,.i, 1, 3, 3, 3, 3, 4,83.8, 1, 1,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022, 937, .i,10,.i,12,1.08900000000000000e+03,   2,2688,1.14460000000000006e+00,1.14459662071545742e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.12194651762986064e+00
 7, 2,4000,50,8660, 5,.i, 1,  .i,43,  .i,6440, 770, 2,6260,28, 770,4760,31,5190, 8, 1,27,26, 1,.i, 1,.i,.i, 2, 3, 7, 1, 3, 3, 1,.i, 4, 2, 2, 1, 0, 0, 2, 1, 0,12,12, 7,2068, 3, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 2, 2, 2, 2, 3, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 4,.i, 0, 1, 2,.i,.i, 2,.i, 2, 1,.i, 2, 1, 2, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 1, 3, 3,.i, 3, 5, 1, 1, 3, 4, 1,.i,.i, 2, 2, 2, 1, 1, 1, 1, 4,32.6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 938, .i,10,.i,12,1.09900000000000000e+03,   2,2688,1.01459999999999995e+00,1.01457811169739531e+00,                     .y,                     .y,                     .y,1.0000,1.000,9.35263745358608234e-01
 7, 2,2310,61,7860, 4,.i,.i,  .i,.i,  .i,  .i,  .i, 2,8255,36,1990,  .i,.i,  .i, 3, 2,39,20, 3, 0, 0,.i,16, 2, 1, 7, 1, 1, 2, 1,.i, 4, 2, 2, 1, 0, 1, 3, 0, 1,12,12, 7,2068, 1, 1,.d, 4, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1,.i, 2, 4, 2, 2, 5, 1, 2, 4, 1, 1, 4, 2, 5,.i, 3,.i, 1,.i,.i, 2,.i,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 5, 1, 1, 4, 4, 2, 1, 4,.i,.i, 2, 3, 3, 3, 3, 6,80.9,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 939, .i,10,.i,12,1.09200000000000000e+03,   2,2688,4.72700000000000009e-01,4.72697117711870674e-01,                     .y,                     .y,                     .y,1.0000,1.000,4.67647547229269545e-01
 4, 2,4720,28,8680, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,6230,44, 770,4610,48,9290, 6,.i,18,.i, 0,.i, 0,.i,.i, 1, 1, 7, 2, 3, 2, 1,.i, 0, 1, 1,.i,.i,.i, 1,.i, 1,.i,.i, 7,2068, 3, 3, 3, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 2, 2, 1, 2, 2, 1, 3,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 5,.i, 0, 1, 2,.i,.i, 2,.i,.i, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 3, 1, 1, 1, 2,.i, 2,.i, 1, 1, 2,.i,.i, 2, 2, 2,.i, 2,.i,.i,.i,.i,.i,21.6, 2, 2, 2, 2, 1, 2, 2, 1,.i, 2,.i, 2, 3,2022, 940, .i,10,.i,12,1.09300000000000000e+03,   2,2688,1.49970000000000003e+00,1.49976843290697981e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.45430893097839653e+00
 1, 2,6260,28, 770, 5,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .i,.i,  .i,2540,48,7860, 2,.i,25,21, 1,.i, 2,.i,.i, 1, 1, 7, 1, 5, 2, 1,.i, 4, 1, 2,.i,.i,.i, 3, 1, 1,12,.i, 7,2068, 1, 2, 2, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 2, 2, 3, 1, 1, 2,.i,.i, 4,.i,.i, 4,.i,.i,.i,.i,.i, 5,.i, 2,.i, 4, 1, 2,.i,.i, 2,.i,.i, 3, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 5, 2, 1, 3, 4, 3, 1, 1,.i,.i, 2, 3, 3, 2, 3, 7,25.2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 941, .i,10,.i,12,1.09800000000000000e+03,   2,2688,8.68399999999999950e-01,8.68402763225832874e-01,                     .y,                     .y,                     .y,1.0000,1.000,8.46106572711097127e-01
 2, 1,4220,24,7690, 1, 1,.i,6200,49, 770,  .i,  .i,.i,  .i,.i,  .i,  .i,.i,  .i, 3, 0,32,19, 0,.i,.i, 1,.i, 2, 1, 7, 1, 7, 2, 2,.i, 4, 2, 2, 0, 0, 0, 4, 0, 2,12, 3, 7,2068, 3, 2, 2, 6, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 1, 1, 4, 2, 1, 4, 2, 1, 5, 2, 2, 5, 1, 4,.i, 0,.d, 4,.i, 2, 1, 2,.i, 2, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 1,.i, 1,.i, 3, 3, 3,.i,.i, 1, 1, 2, 2, 2,.i,.i,.i,.i,.i,20.7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 942, .i,10,.i,12,1.07600000000000000e+03,   2,2688,5.84070000000000000e+00,5.84079800234153446e+00,                     .y,                     .y,                     .y,1.0000,1.000,5.75270097245773737e+00
 8,.i,  .i,.i,  .i, 5,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .i,.i,  .i,  .i,.i,  .i,12,.i,34,26, 0,.i, 0,.i,.i, 2, 3, 7, 1, 7, 2,.d,.i,.i,.d,.d,.i,.i,.i, 1,.i, 1, 2,.i, 7,2068, 3,.d,.d, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 2, 2, 1, 2, 2, 1, 1,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 2,.i, 6,.i, 2,.i,.i, 2,.i,.i, 2, 1,.i,.i,.i, 2, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2,.i, 2,.i, 2, 1, 2,.i,.i, 1, 1, 1,.i, 1,.i,.i,.i,.i,.i,  .i, 1, 1,.i,.i,.i,.i,.i, 1,.i, 2,.i, 2,.d,2022, 943, .i,10,.i,12,1.07200000000000000e+03,   1,2689,1.26900000000000013e-01,1.26891420958742868e-01,                     .y,                     .y,                     .y,1.0000,1.000,1.25797656089875587e-01
 2, 2,2630,46,5470, 1, 1,.i,6420,35, 770,  .i,  .i, 1, 205,46, 170,4230,25,9290, 5,.i,25,16, 1, 0, 0, 1,.i, 2, 3, 0, 3, 8, 3, 2,.i, 4, 2, 2,.i,.i,.i, 2, 0, 0, 2,.i, 7,2068, 3, 3, 3, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 2, 1,.d, 2,.d, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.i, 7, 1, 1,.i, 1, 3, 1,.i, 2,.i, 1, 2, 2, 2,.d, 1, 1, 2, 2, 2, 2, 2,.d,.d,.d, 2,.i, 1,.i, 2, 3, 3, 4, 2,.i,.i, 1,.i, 1, 2, 2, 2, 2, 4,61.4, 1, 1,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2,.s,2022, 944, .i,10,.i,12,1.08900000000000000e+03,   1,2689,3.56300000000000006e-01,3.56326219468667882e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.32679114203556447e-01
 7,.i,  .i,.i,  .i, 1, 1,.i,  .n,.i,7770,  .i,  .i, 1, 205,46, 170,  .i,.i,  .i, 8,.i,48,20, 0, 0, 0, 0,.i, 2, 1, 0, 3, 1, 3, 2,.i, 4, 2, 2,.i,.i,.i, 2, 0, 1,12,.i, 7,2068, 3, 3, 3, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 2, 2, 2, 1, 1, 3,.i,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 2,.i, 5,.d, 2,.i, 2, 2, 1,.i, 3, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,10, 2, 3, 1, 2, 1, 1, 1,.i,.i, 2, 3, 3, 3, 3, 3,  .i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 945, .i,10,.i,12,1.07300000000000000e+03,   1,2689,3.02130000000000010e+00,3.02138466865971456e+00,                     .y,                     .y,                     .y,1.0000,1.000,2.93653495627781913e+00
 7,.i,  .i,.i,  .i, 1, 1,.i,6230,44, 770,  .i,  .i, 1,6050,27, 170,  .i,.i,  .i,10,.i,36,23, 1, 0, 0, 0,.i, 2, 1, 0, 3, 1, 1, 2,.i, 4, 2, 2,.i,.i,.i, 2, 0, 1, 1,.i, 7,2068, 3, 3, 3, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 2, 2, 1, 1, 1, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.i, 8, 1, 1,.i, 1, 2, 2,.i, 2,.i, 1, 2, 2, 3, 3, 3, 2, 2, 3, 3, 2, 2, 2, 3, 2, 3,.i, 2,.i, 1, 1, 1, 4, 1,.i,.i, 1,.i, 1, 2, 2, 2, 2, 1,  .i, 1, 1,.i,.i,.i,.i,.i,.d,.i, 2,.i, 2,.d,2022, 946, .i,10,.i,12,1.10300000000000000e+03,   1,2689,5.96999999999999975e-01,5.97017524646884290e-01,                     .y,                     .y,                     .y,1.0000,1.000,5.90823963317896217e-01
 1, 2,5240,31,1990, 1, 4,.i,2630,46,7370,  .i,  .i,.i,  .i,.i,  .i,5240,31,9370, 2,.i,48,20, 2,.i, 2, 0, 1, 2, 2, 7, 1, 5, 3, 1,.i, 0, 1, 1,.i,.i,.i, 2, 0, 1,12,12, 7,2068, 4, 1, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 1, 3, 1, 1, 3, 3, 4,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 1,.i, 7,.i, 1,.i, 4, 2, 1,.i, 2, 2,.i,.i,.i, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2,.i, 2,.i, 3, 3, 3,.i,.i, 1, 1, 1,.i, 1,.i,.i,.i,.i,.i,37.6, 1, 1,.i,.i,.i,.i,.i, 1,.i, 2,.i, 2, 3,2022, 947, .i,10,.i,12,1.07800000000000000e+03,   1,2689,6.36399999999999966e-01,6.36411185446481675e-01,                     .y,                     .y,                     .y,1.0000,1.000,6.03541162098771622e-01
 2, 2,6230,44, 770, 4,.i,.i,  .i,.i,  .i,  .i,  .i, 1,6840,40, 470,  .i,.i,  .i, 7, 0,41,22, 0, 0, 0,.i,.i, 1, 1, 0, 3, 1, 1, 2,.i, 4, 2, 2, 0, 0, 0, 1, 1, 1,.i,.d, 7,2068, 3, 3, 3, 4, 3, 1, 1, 2, 1, 1, 1, 3, 3, 3, 3, 1, 1, 1, 1, 2,.d, 2,.i, 2, 4, 2, 1, 4, 1, 2, 4, 1, 2, 5, 1, 2,.i, 2, 1, 2,.i,.i, 3,.i,.i, 3, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 8, 2, 2, 2, 4, 1, 1, 1,.i,.i, 2, 3, 3, 2, 3, 4,28.7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 948, .i,10,.i,12,1.08900000000000000e+03,   1,2689,3.31799999999999984e-01,3.31852547382861185e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.20495765285072898e-01
 1, 2,4230,25,8660, 1, 2,.i,4650,18,8990,  .i,  .i, 2,4020,33,7860,8320,32,1680, 6, 0,39,17, 3, 0, 0, 0,16, 2, 1, 0, 3, 3, 2, 2,.i, 4, 2, 2, 0, 0, 0, 2, 0, 2, 5, 5, 7,2068, 3, 3, 3, 6,.d, 2, 1, 2, 2, 3, 1,.d, 3, 2, 1, 1, 1, 2,.d, 2,.d,.d, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i,.n, 2, 2,.i, 4, 3, 1,.i, 1,.i, 2, 1, 2, 3,.d,.d, 2,.d, 2, 3, 1, 2,.n,.d,.d, 1,.i, 2, 8, 3, 3, 1, 4, 2,.i,.i, 2, 2, 2, 3, 3, 3, 3, 4,12.6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 949, .i,10,.i,12,1.08800000000000000e+03,   1,2689,1.94249999999999989e+00,1.94257056446633336e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.94644284501752063e+00
 1, 2,4040,32,8660, 5,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .i,.i,  .i,2145,52,  .n, 2, 0,26,19, 1,.i, 3,.i,.i, 2, 2, 7, 1, 5, 2, 1,.i, 0, 1, 1, 0, 0, 0, 1,.i, 3, 3, 3, 7,2068, 6, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,.i, 1, 5, 1, 1, 4, 1, 1, 5, 1, 2, 4, 1, 4,.i, 2,.i, 1,.i,.i, 1,.i,.i, 3, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 1, 1, 2, 2, 2, 2, 2,.i,.i, 1, 2, 1, 3, 1, 3,26.9,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 950, .i,10,.i,12,1.09600000000000000e+03,   1,2689,3.55999999999999983e-01,3.56048879043442790e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.36868597614649712e-01
 1, 2,2630,46,7070, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,8710,28, 270,3600,48,8170, 1,.i,38,.i, 3,.i,.i,.i, 2, 1, 3, 7, 2, 1, 1, 2,.i, 4, 1, 2,.i,.i,.i, 1,.i, 1,12,12, 7,2068, 2, 2, 2, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 1, 1, 1, 2, 1, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.i, 1, 1, 1,.i,.i, 3,.i,.i, 2,.i, 2, 2, 2, 3, 3, 2, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2,.i, 2,.i, 3, 1, 3, 4, 1,.i,.i, 2,.i, 1, 3, 3, 3, 3, 8,61.4, 1, 1,.i,.i,.i,.i,.i, 2,.i, 2,.i, 2, 3,2022, 951, .i,10,.i,12,1.09500000000000000e+03,   1,2689,1.14299999999999999e-01,1.14293389371219800e-01,                     .y,                     .y,                     .y,1.0000,1.000,1.16012228920876981e-01
 1, 2, 565,47, 490, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2, 120,53,6870,5160,39,6870, 0, 0,50,.i, 3, 3, 1,.i, 9, 1, 3, 0, 3, 1, 3, 2,.i, 4, 2, 2, 0, 0, 0, 2, 0, 1,12,12, 7,2068, 0, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1,.i, 2, 4, 2, 2, 5, 2, 1, 4, 2, 2, 4, 2, 9,.i, 0,.i, 9,.i,.i, 2,.i,.i, 2, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 3, 2, 3, 5, 4, 2, 3, 4,.i,.i, 2, 3, 3, 3, 3, 8,69.4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 952, .i,10,.i,12,1.07500000000000000e+03,   1,2689,8.92700000000000049e-01,8.92720993872072266e-01,                     .y,                     .y,                     .y,1.0000,1.000,8.16276442725230367e-01
 1, 2,7950,40,2870, 5,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .i,.i,  .i,2430,55,6770, 5,.i,57,20, 1,.i, 3,.i,.i, 1, 2, 7,.i, 5, 3, 1,.i, 0, 1, 1,.i,.i,.i, 1,.i, 1,12,12, 7,2068, 6, 2, 2, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 1, 2, 1, 2, 1, 3,.i, 4,.i,.i, 4,.i,.i,.i,.i,.i, 5,.i, 2,.i, 0, 1, 4,.i,.i, 3,.i,.i, 3, 1, 1, 1, 2, 2, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2,.i, 3,.i, 2, 3, 2,.i,.i, 1, 1, 2,.i, 1,.i,.i,.i,.i,.i,22.9,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 953, .i,10,.i,12,1.09500000000000000e+03,   1,2689,3.34100000000000008e-01,3.34083896301124283e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.18297341874428041e-01
 1, 2,3255,64,8090, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 1,4700,38,4790,4000,50,8680, 2,.i,42,.i, 3, 1, 1,.i,36, 2, 3, 0, 3, 1, 4, 2,.i, 1, 2, 2,.i,.i,.i, 1,.i, 0,12,12, 7,2068, 4, 3, 3, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 2, 2, 1, 3, 2, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.i, 5,.i, 4,.i,.i, 2,.i,.i, 2,.i,.i,.i,.i, 1, 1, 3, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1,.i, 3,.i, 2, 3, 4, 3, 2,.i,.i, 1,.i, 2, 3, 3, 3, 3, 7,84.2, 0,.i,.i,.i,.i,.i,.i,.s,.i, 2,.i, 2, 3,2022, 954, .i,10,.i,12,1.09800000000000000e+03,   2,2689,3.67400000000000004e-01,3.67369275091519232e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.31180410896910637e-01
 1, 2, 430,39, 590, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2, 120,53,3090,2310,61,7860, 2, 0,50,.s, 3, 3, 3,.i,17, 2, 1, 1, 3, 1, 3, 1,.i, 0, 1, 1, 0, 0, 0, 1,.i, 1,12,12, 7,2068, 3, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 1, 1, 2, 2, 2, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i, 0,.i, 2,.i,.i, 2,.i,.i, 3,.i,.i,.i,.i, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 1,.i, 3, 5, 2, 2, 3, 4, 1,.i,.i, 1, 2, 2, 3, 3, 3, 3, 8,67.7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 955, .i,10,.i,12,1.10100000000000000e+03,   2,2689,2.87399999999999989e-01,2.87422311672915654e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.66736232882421931e-01
 1, 2,5120,45,4560, 1, 1,.i,5700,47, 770,  .i,  .i, 2,4220,24,1290,4110,31,8680, 5,.i,34,.i, 0, 0, 0, 0,.i, 1, 1, 7, 1, 1, 2, 1,.i, 4, 2, 2,.i,.i,.i, 3, 2, 1,12,12, 7,2068, 3, 2, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 2, 1, 2, 2, 2, 1,.i,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 5,.i, 4,.i, 2,.i, 5, 1, 1,.i, 1, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 5, 3, 1, 3, 4, 4, 1, 4,.i,.i, 2, 3, 3, 3, 3, 8,38.3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 956, .i,10,.i,12,1.10500000000000000e+03,   2,2689,8.75900000000000012e-01,8.75889369977400856e-01,                     .y,                     .y,                     .y,1.0000,1.000,8.62720985699143905e-01
 1, 1, 310,39,8680, 1, 1,.i, 120,53,6870,  .i,  .i,.i,  .i,.i,  .i,3150,61,8180, 1,.i,48,30, 1,.i, 3, 1,.i, 1, 1, 7, 1, 5, 3, 1,.i, 0, 1, 1,.i,.i,.i, 3, 0, 2,12,.d, 7,2068, 1, 1, 1, 3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 2, 1, 1, 1, 1, 1,.i,.i, 4,.i,.i, 4,.i,.i,.i,.i,.i, 4,.i, 4,.i, 1,.i, 1,.i, 4, 2, 1,.i, 3, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 7, 2, 3, 2, 4, 3, 2, 4,.i,.i, 2, 3, 3, 3, 3, 6,41.0,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 957, .i,10,.i,12,1.10000000000000000e+03,   2,2689,3.54840000000000000e+00,3.54843161735071755e+00,                     .y,                     .y,                     .y,1.0000,1.000,3.25832493301709247e+00
 7, 2,7750,35,3980, 3,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .i,.i,  .i,4230,25,9290, 0,.i,42,20, 1,.i, 1,.i,.i, 2, 1, 7,.i, 5, 4, 1,.i, 2, 1, 1,.i,.i,.i, 4, 4, 0,12, 6, 7,2068, 7, 1, 1, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 1, 2, 1, 1, 1,.i,.i, 4,.i,.i, 4,.i,.i,.i,.i,.i, 5,.i, 5,.i, 0,.i, 1,.i,.i, 2,.i,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 1, 3, 2, 2, 4, 4, 1, 4,.i,.i, 2, 3, 3, 3, 3, 5,25.0,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 958, .i,10,.i,12,1.07200000000000000e+03,   2,2689,9.73199999999999954e-01,9.73186828309869578e-01,                     .y,                     .y,                     .y,1.0000,1.000,8.82274108653309797e-01
 1, 2,9620,25,3890, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 1, 800,60,7280,5120,45,7280, 2,.i,23,.i, 2, 3, 1,.i,54, 1, 3, 7, 2, 1, 1, 1,.i, 3, 2, 2,.i,.i,.i, 1,.i, 1,12,12, 7,2068, 5, 2, 2, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 3, 1, 1, 2, 1, 1, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i, 0,.d, 2,.i,.i, 3,.i,.i, 1,.i, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 1, 3, 1, 1, 2, 1,.i, 2,.i, 3, 3, 2, 4, 2,.i,.i, 2,.i, 2, 2, 2, 2, 2, 6,23.3, 1, 2, 2, 2, 2, 2, 2, 1,.i, 2,.i, 2, 2,2022, 959, .i,10,.i,12,1.09800000000000000e+03,   2,2689,2.89499999999999980e-01,2.89467587741944976e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.82035524237032487e-01
 1, 2,5700,47,7670, 1, 7,.i,2700,58,6570,  .i,  .i, 2,  50,53,3990,8965,35,1680, 2, 0,34,.i, 4, 0, 1, 3,43, 2, 1, 0, 3, 1, 3, 2,.i, 4, 2, 2, 0, 0, 0, 2, 0, 2,12,10, 7,  92, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1,.i, 1, 4, 2, 2, 4, 2, 1, 5, 2, 2, 4, 2, 4,.i, 0, 1, 2,.i, 4, 1, 1,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 3, 2, 1, 3, 4, 4, 3, 4,.i,.i, 2, 1, 1, 1, 1, 4,38.8,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022, 960, .i,10,.i,12,1.08900000000000000e+03,   2,2689,2.05750000000000011e+00,2.05752896728526835e+00,                     .y,                     .y,                     .y,1.0000,1.000,2.06163040357245020e+00
